SKU,Brand_Desc,Product_Category,Date range,Ranking (By net sales),Net Sales,Net Sales Items,Transaction,ATV,ASP,Net Sales Contribution,Net Sales Items Contribution,Brand
2617340,HARMONY,Food Supplement,"Jan 01, 2026 - Jan 31, 2026",1,22317.82,41,23,970.34,544.337073,0.005045,0.001381,PROP
1104672,Eucerin,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",2,21953.27,12,9,2439.252222,1829.439167,0.004963,0.000404,PROP
2435927,Tiger Balm,OTC Pain Relief,"Jan 01, 2026 - Jan 31, 2026",3,21652.97,57,25,866.1188,379.876667,0.004895,0.00192,PROP
2687543,CERAVE,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",4,20879.46,38,36,579.985,549.459474,0.00472,0.00128,PROP
0102007,Dermovate,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",5,20523.83,27,1,20523.83,760.141852,0.004639,0.00091,PROP
2708222,PWP,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",6,19709.34,242,25,788.3736,81.443554,0.004455,0.008152,PROP
1052473,Blackmores,Food Supplement,"Jan 01, 2026 - Jan 31, 2026",7,19039.5,8,8,2379.9375,2379.9375,0.004304,0.000269,PROP
0022140,SERMION,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",8,18544.16,24,1,18544.16,772.673333,0.004192,0.000808,PROP
1076924,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",9,18300.29,20,17,1076.487647,915.0145,0.004137,0.000674,PROP
0131028,Aerius,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",10,17628.67,53,43,409.96907,332.616415,0.003985,0.001785,PROP
2600561,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",11,17499,38,32,546.84375,460.5,0.003956,0.00128,PROP
0043020,LYRICA,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",12,17009.32,14,10,1700.932,1214.951429,0.003845,0.000472,PROP
0134016,DIFFLAM,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",13,16191.63,63,53,305.502453,257.01,0.00366,0.002122,PROP
2749247,Cetaphil,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",14,15944.61,14,11,1449.51,1138.900714,0.003604,0.000472,PROP
0131035,CIRCADIN,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",15,15903.68,25,23,691.464348,636.1472,0.003595,0.000842,PROP
2255120,Blackmores,Vitamin,"Jan 01, 2026 - Jan 31, 2026",16,15753.59,44,20,787.6795,358.036136,0.003561,0.001482,PROP
2687578,CERAVE,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",17,14212.01,31,28,507.571786,458.451935,0.003213,0.001044,PROP
1121269,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",18,14207.83,5,5,2841.566,2841.566,0.003212,0.000168,PROP
1119925,LOCOA,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",19,14133.17,27,9,1570.352222,523.450741,0.003195,0.00091,PROP
1098533,PWP,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",20,14000.23,170,26,538.470385,82.354294,0.003165,0.005727,PROP
1094032,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",21,13799.42,8,7,1971.345714,1724.9275,0.003119,0.000269,PROP
1116180,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",22,13366.56,9,9,1485.173333,1485.173333,0.003021,0.000303,PROP
1073564,Blackmores,Vitamin,"Jan 01, 2026 - Jan 31, 2026",23,13181.07,40,29,454.519655,329.52675,0.00298,0.001347,PROP
0043019,LYRICA,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",24,13167.29,15,6,2194.548333,877.819333,0.002976,0.000505,PROP
1103118,NEO HAIR,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",25,12953.26,21,5,2590.652,616.821905,0.002928,0.000707,PROP
8429898,No7,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",26,12875.56,21,4,3218.89,613.121905,0.002911,0.000707,BOOTS
